ArcGIS Pro,CitySim,GRASS GIS,Ladybug,SAGA GIS,SimStadt,Weather data,doy,month,diff_ArcGIS Pro,diff_p_ArcGIS Pro,diff_CitySim,diff_p_CitySim,diff_GRASS GIS,diff_p_GRASS GIS,diff_Ladybug,diff_p_Ladybug,diff_SAGA GIS,diff_p_SAGA GIS,diff_SimStadt,diff_p_SimStadt
0.25,0.45,1.47,0.49,4.33,0.43,0.58,23,1,0.33,-0.57,0.12,-0.21,0.89,1.54,0.09,-0.15,3.76,6.51,0.15,-0.25
0.31,0.49,1.5,0.51,4.38,0.44,0.64,24,1,0.33,-0.52,0.15,-0.23,0.86,1.34,0.14,-0.21,3.74,5.84,0.2,-0.32
0.32,0.54,1.53,0.59,4.43,0.48,0.82,25,1,0.51,-0.61,0.28,-0.34,0.7,0.85,0.23,-0.28,3.61,4.37,0.34,-0.42
0.28,0.55,1.57,0.57,4.48,0.46,0.78,26,1,0.5,-0.64,0.23,-0.3,0.79,1.01,0.22,-0.28,3.7,4.74,0.32,-0.41
0.3,0.51,1.61,0.55,4.54,0.48,0.69,27,1,0.39,-0.57,0.18,-0.26,0.92,1.33,0.14,-0.2,3.85,5.57,0.21,-0.31
0.36,0.52,1.64,0.57,4.59,0.46,0.81,28,1,0.44,-0.55,0.28,-0.35,0.83,1.03,0.23,-0.29,3.78,4.68,0.35,-0.43
0.38,0.53,1.68,0.58,4.64,0.47,0.78,29,1,0.41,-0.52,0.25,-0.32,0.89,1.14,0.2,-0.26,3.86,4.91,0.31,-0.4
0.34,0.65,1.71,0.68,4.7,0.55,0.93,30,1,0.6,-0.64,0.28,-0.3,0.78,0.84,0.26,-0.28,3.76,4.03,0.39,-0.41
0.41,0.63,1.75,0.66,4.75,0.51,0.96,31,1,0.55,-0.57,0.33,-0.34,0.79,0.83,0.3,-0.32,3.79,3.94,0.45,-0.47
0.43,0.52,1.7,0.57,4.2,0.48,0.71,32,2,0.28,-0.39,0.19,-0.26,0.99,1.4,0.14,-0.2,3.49,4.91,0.23,-0.32
0.38,0.56,1.74,0.61,4.25,0.48,0.84,33,2,0.46,-0.54,0.28,-0.34,0.9,1.07,0.23,-0.28,3.41,4.06,0.36,-0.43
0.4,0.71,1.78,0.74,4.31,0.59,1.01,34,2,0.6,-0.6,0.3,-0.29,0.77,0.77,0.27,-0.27,3.3,3.28,0.42,-0.41
0.49,0.6,1.83,0.62,4.62,0.5,0.81,35,2,0.32,-0.39,0.21,-0.26,1.02,1.27,0.19,-0.24,3.81,4.73,0.3,-0.38
0.44,0.69,1.87,0.72,4.68,0.57,0.95,36,2,0.51,-0.54,0.26,-0.27,0.92,0.96,0.24,-0.25,3.73,3.92,0.38,-0.4
0.46,0.67,1.91,0.7,4.75,0.52,1.03,37,2,0.58,-0.56,0.37,-0.35,0.88,0.85,0.34,-0.32,3.71,3.59,0.51,-0.49
0.55,0.74,1.96,0.77,4.81,0.58,1.11,38,2,0.55,-0.5,0.37,-0.33,0.85,0.77,0.34,-0.3,3.7,3.35,0.53,-0.47
0.49,0.78,2.0,0.82,4.88,0.63,1.17,39,2,0.67,-0.58,0.38,-0.33,0.83,0.71,0.35,-0.3,3.71,3.18,0.54,-0.46
0.52,0.75,2.04,0.78,4.94,0.61,1.04,40,2,0.52,-0.5,0.29,-0.28,1.01,0.97,0.26,-0.25,3.9,3.76,0.42,-0.41
0.63,0.75,2.09,0.78,5.01,0.6,1.06,41,2,0.44,-0.41,0.31,-0.3,1.02,0.96,0.28,-0.27,3.94,3.7,0.46,-0.44
0.56,0.8,2.14,0.84,5.07,0.62,1.2,42,2,0.64,-0.53,0.4,-0.33,0.94,0.78,0.36,-0.3,3.87,3.23,0.58,-0.48
0.68,0.81,2.2,0.85,5.14,0.62,1.23,43,2,0.55,-0.45,0.42,-0.34,0.97,0.79,0.38,-0.31,3.92,3.2,0.61,-0.5
0.71,0.9,2.24,0.94,5.21,0.7,1.29,44,2,0.59,-0.45,0.39,-0.3,0.95,0.74,0.35,-0.27,3.92,3.03,0.59,-0.46
0.63,0.91,2.29,0.97,5.28,0.67,1.42,45,2,0.79,-0.56,0.51,-0.36,0.87,0.61,0.46,-0.32,3.86,2.71,0.75,-0.53
0.76,0.91,2.35,0.95,5.35,0.72,1.38,46,2,0.62,-0.45,0.48,-0.34,0.96,0.7,0.43,-0.31,3.96,2.86,0.66,-0.48
0.79,0.98,2.4,1.03,5.41,0.77,1.52,47,2,0.73,-0.48,0.55,-0.36,0.87,0.57,0.49,-0.32,3.89,2.55,0.75,-0.49
0.71,1.0,2.45,1.05,5.48,0.82,1.49,48,2,0.78,-0.52,0.49,-0.33,0.96,0.64,0.44,-0.3,3.99,2.68,0.67,-0.45
0.86,0.96,2.51,1.01,5.81,0.78,1.43,49,2,0.58,-0.4,0.47,-0.33,1.08,0.75,0.42,-0.29,4.37,3.05,0.65,-0.46
0.89,0.97,2.56,1.01,5.88,0.82,1.32,50,2,0.43,-0.33,0.35,-0.27,1.24,0.94,0.31,-0.23,4.56,3.45,0.5,-0.38
0.92,1.04,2.62,1.1,5.96,0.87,1.51,51,2,0.59,-0.39,0.47,-0.31,1.11,0.74,0.41,-0.27,4.45,2.95,0.64,-0.42
0.95,0.94,2.67,0.99,6.04,0.77,1.36,52,2,0.4,-0.3,0.42,-0.31,1.32,0.97,0.37,-0.27,4.68,3.45,0.58,-0.43
0.86,0.97,2.73,1.02,6.11,0.83,1.34,53,2,0.48,-0.36,0.36,-0.27,1.39,1.04,0.32,-0.24,4.77,3.57,0.5,-0.38
1.02,1.17,2.79,1.24,6.19,0.9,1.81,54,2,0.78,-0.43,0.63,-0.35,0.98,0.54,0.57,-0.31,4.38,2.42,0.9,-0.5
1.06,1.05,2.84,1.11,6.26,0.85,1.54,55,2,0.48,-0.31,0.49,-0.32,1.3,0.84,0.43,-0.28,4.72,3.06,0.69,-0.45
1.1,1.12,2.9,1.19,6.34,0.86,1.74,56,2,0.64,-0.37,0.62,-0.36,1.16,0.67,0.55,-0.32,4.6,2.65,0.88,-0.51
1.14,1.11,2.96,1.17,6.42,0.87,1.65,57,2,0.51,-0.31,0.54,-0.33,1.31,0.8,0.48,-0.29,4.77,2.9,0.78,-0.47
1.02,1.21,3.03,1.25,6.49,0.92,1.79,58,2,0.77,-0.43,0.58,-0.32,1.24,0.69,0.54,-0.3,4.7,2.63,0.88,-0.49
1.21,1.23,3.09,1.31,6.57,0.95,1.82,59,2,0.61,-0.33,0.6,-0.33,1.27,0.7,0.52,-0.28,4.75,2.6,0.87,-0.48
1.09,1.28,3.0,1.21,5.65,0.92,1.62,60,3,0.53,-0.33,0.34,-0.21,1.38,0.85,0.41,-0.25,4.03,2.48,0.7,-0.43
1.3,1.18,3.06,1.38,5.71,1.01,1.92,61,3,0.62,-0.32,0.74,-0.38,1.14,0.6,0.54,-0.28,3.8,1.98,0.9,-0.47
1.34,1.34,3.13,1.34,5.78,1.01,1.81,62,3,0.47,-0.26,0.46,-0.26,1.32,0.73,0.47,-0.26,3.97,2.2,0.8,-0.44
1.2,1.3,3.19,1.47,5.94,1.08,2.02,63,3,0.82,-0.4,0.72,-0.35,1.17,0.58,0.54,-0.27,3.93,1.95,0.93,-0.46
1.42,1.44,3.25,1.54,6.01,1.13,2.12,64,3,0.69,-0.33,0.68,-0.32,1.13,0.54,0.57,-0.27,3.89,1.84,0.99,-0.47
1.28,1.5,3.31,1.37,6.08,0.98,1.91,65,3,0.63,-0.33,0.41,-0.21,1.4,0.73,0.54,-0.28,4.17,2.18,0.93,-0.49
1.51,1.33,3.37,1.49,6.15,1.12,2.0,66,3,0.49,-0.24,0.67,-0.34,1.37,0.69,0.51,-0.25,4.15,2.07,0.88,-0.44
1.36,1.45,3.44,1.47,6.22,1.08,2.01,67,3,0.66,-0.33,0.56,-0.28,1.42,0.71,0.54,-0.27,4.21,2.09,0.94,-0.47
1.6,1.44,3.5,1.42,6.29,1.02,1.95,68,3,0.35,-0.18,0.51,-0.26,1.55,0.79,0.53,-0.27,4.34,2.23,0.92,-0.47
1.65,1.38,3.56,1.47,6.36,1.0,2.12,69,3,0.47,-0.22,0.74,-0.35,1.44,0.68,0.64,-0.3,4.24,2.0,1.11,-0.53
1.7,1.43,3.62,1.65,6.43,1.2,2.22,70,3,0.52,-0.24,0.79,-0.35,1.41,0.63,0.57,-0.26,4.21,1.9,1.01,-0.46
1.74,1.61,3.69,1.79,6.5,1.27,2.48,71,3,0.74,-0.3,0.87,-0.35,1.21,0.49,0.69,-0.28,4.02,1.62,1.21,-0.49
1.57,1.75,3.75,1.68,6.56,1.21,2.28,72,3,0.71,-0.31,0.52,-0.23,1.47,0.65,0.6,-0.26,4.29,1.88,1.07,-0.47
1.84,1.63,3.83,1.73,6.63,1.33,2.31,73,3,0.47,-0.2,0.68,-0.29,1.52,0.66,0.58,-0.25,4.32,1.87,0.98,-0.42
1.66,1.69,3.89,1.68,6.7,1.34,2.17,74,3,0.51,-0.24,0.48,-0.22,1.72,0.79,0.49,-0.22,4.53,2.09,0.83,-0.38
1.94,1.64,3.95,1.67,6.76,1.34,2.14,75,3,0.2,-0.09,0.5,-0.23,1.82,0.85,0.46,-0.22,4.63,2.17,0.8,-0.37
1.87,1.64,4.03,1.68,6.83,1.38,2.13,76,3,0.27,-0.12,0.5,-0.23,1.89,0.89,0.45,-0.21,4.7,2.2,0.76,-0.35
2.04,1.65,4.09,1.67,6.9,1.35,2.14,77,3,0.09,-0.04,0.49,-0.23,1.96,0.92,0.47,-0.22,4.76,2.23,0.79,-0.37
2.09,1.63,4.16,1.95,6.96,1.47,2.61,78,3,0.52,-0.2,0.98,-0.38,1.55,0.59,0.66,-0.25,4.35,1.66,1.14,-0.44
2.14,1.9,4.23,1.87,7.02,1.46,2.47,79,3,0.33,-0.13,0.56,-0.23,1.76,0.71,0.6,-0.24,4.55,1.84,1.01,-0.41
2.2,1.82,4.29,2.03,7.18,1.57,2.7,80,3,0.5,-0.19,0.88,-0.33,1.59,0.59,0.67,-0.25,4.48,1.66,1.13,-0.42
2.25,1.98,4.36,2.04,7.25,1.58,2.72,81,3,0.47,-0.17,0.73,-0.27,1.64,0.6,0.67,-0.25,4.53,1.67,1.14,-0.42
2.3,2.0,4.42,2.12,7.31,1.55,2.96,82,3,0.66,-0.22,0.96,-0.32,1.46,0.49,0.84,-0.28,4.35,1.47,1.41,-0.48
2.07,2.08,4.49,2.24,7.38,1.68,3.03,83,3,0.96,-0.32,0.95,-0.32,1.46,0.48,0.79,-0.26,4.35,1.43,1.35,-0.44
2.41,2.23,4.55,2.25,7.44,1.7,3.04,84,3,0.64,-0.21,0.81,-0.27,1.51,0.5,0.79,-0.26,4.4,1.45,1.34,-0.44
2.17,2.24,4.62,2.23,7.51,1.7,2.92,85,3,0.75,-0.26,0.67,-0.23,1.7,0.58,0.69,-0.24,4.59,1.57,1.22,-0.42
2.51,2.21,4.69,2.57,7.56,1.84,3.54,86,3,1.03,-0.29,1.33,-0.38,1.15,0.32,0.97,-0.27,4.03,1.14,1.7,-0.48
2.57,2.55,4.76,2.1,7.63,1.65,2.7,87,3,0.13,-0.05,0.15,-0.05,2.07,0.77,0.6,-0.22,4.93,1.83,1.05,-0.39
2.62,2.08,4.83,2.35,7.69,1.8,3.02,88,3,0.4,-0.13,0.94,-0.31,1.8,0.6,0.67,-0.22,4.66,1.54,1.22,-0.4
2.68,2.33,4.89,2.55,7.75,1.9,3.29,89,3,0.61,-0.19,0.96,-0.29,1.61,0.49,0.74,-0.23,4.46,1.36,1.39,-0.42
2.73,2.52,4.96,2.48,7.81,1.84,3.21,90,3,0.48,-0.15,0.69,-0.21,1.75,0.55,0.73,-0.23,4.6,1.43,1.37,-0.43
2.78,2.46,5.07,2.52,8.01,1.81,3.32,91,4,0.54,-0.16,0.87,-0.26,1.74,0.52,0.8,-0.24,4.69,1.41,1.51,-0.45
2.51,2.49,5.13,2.76,8.07,1.95,3.63,92,4,1.12,-0.31,1.14,-0.31,1.51,0.42,0.87,-0.24,4.45,1.23,1.68,-0.46
2.89,2.72,5.2,2.63,8.13,1.92,3.36,93,4,0.47,-0.14,0.64,-0.19,1.84,0.55,0.73,-0.22,4.77,1.42,1.44,-0.43
2.61,2.6,5.27,2.25,8.19,1.73,2.78,94,4,0.17,-0.06,0.18,-0.07,2.48,0.89,0.53,-0.19,5.4,1.94,1.05,-0.38
3.0,2.22,5.33,2.51,8.24,1.83,3.18,95,4,0.18,-0.06,0.96,-0.3,2.15,0.67,0.68,-0.21,5.06,1.59,1.35,-0.42
3.06,2.47,5.4,2.65,8.3,1.88,3.42,96,4,0.36,-0.11,0.94,-0.28,1.98,0.58,0.76,-0.22,4.88,1.43,1.54,-0.45
3.11,2.61,5.46,2.99,8.46,2.06,3.9,97,4,0.79,-0.2,1.28,-0.33,1.56,0.4,0.91,-0.23,4.56,1.17,1.84,-0.47
3.17,2.95,5.52,2.86,8.51,2.01,3.65,98,4,0.48,-0.13,0.7,-0.19,1.88,0.51,0.79,-0.22,4.87,1.33,1.64,-0.45
2.86,2.81,5.59,2.87,8.57,2.0,3.73,99,4,0.87,-0.23,0.91,-0.25,1.86,0.5,0.86,-0.23,4.84,1.3,1.72,-0.46
3.28,2.82,5.65,2.74,8.24,1.98,3.45,100,4,0.18,-0.05,0.63,-0.18,2.2,0.64,0.72,-0.21,4.79,1.39,1.48,-0.43
2.96,2.69,5.71,2.83,8.29,2.02,3.61,101,4,0.65,-0.18,0.92,-0.25,2.1,0.58,0.78,-0.22,4.68,1.3,1.59,-0.44
3.38,2.78,5.79,3.01,8.34,2.19,3.78,102,4,0.39,-0.1,0.99,-0.26,2.01,0.53,0.76,-0.2,4.57,1.21,1.58,-0.42
3.44,2.96,5.85,3.03,8.39,2.22,3.78,103,4,0.34,-0.09,0.81,-0.21,2.08,0.55,0.74,-0.2,4.62,1.22,1.56,-0.41
3.11,2.98,5.91,3.15,8.44,2.25,3.91,104,4,0.8,-0.21,0.93,-0.24,2.0,0.51,0.76,-0.2,4.53,1.16,1.66,-0.42
3.54,3.09,5.97,3.03,8.49,1.96,3.93,105,4,0.39,-0.1,0.84,-0.21,2.05,0.52,0.9,-0.23,4.56,1.16,1.97,-0.5
3.2,2.96,6.04,3.4,8.54,2.16,4.35,106,4,1.15,-0.26,1.39,-0.32,1.69,0.39,0.95,-0.22,4.19,0.96,2.19,-0.5
3.55,3.31,6.1,3.45,8.59,2.16,4.4,107,4,0.85,-0.19,1.08,-0.25,1.71,0.39,0.95,-0.22,4.19,0.95,2.24,-0.51
3.7,3.34,6.17,3.43,8.63,2.1,4.39,108,4,0.69,-0.16,1.05,-0.24,1.77,0.4,0.97,-0.22,4.24,0.97,2.29,-0.52
3.35,3.32,6.23,3.6,8.68,2.12,4.68,109,4,1.34,-0.29,1.36,-0.29,1.54,0.33,1.08,-0.23,4.0,0.85,2.57,-0.55
3.8,3.54,6.29,3.71,8.73,2.08,4.83,110,4,1.03,-0.21,1.3,-0.27,1.45,0.3,1.13,-0.23,3.9,0.81,2.75,-0.57
3.44,3.63,6.34,3.86,8.77,1.99,5.1,111,4,1.66,-0.33,1.48,-0.29,1.24,0.24,1.24,-0.24,3.67,0.72,3.11,-0.61
3.91,3.77,6.4,3.81,8.82,2.09,4.88,112,4,0.97,-0.2,1.1,-0.23,1.53,0.31,1.07,-0.22,3.94,0.81,2.78,-0.57
3.96,3.72,6.46,3.78,8.86,2.04,4.9,113,4,0.95,-0.19,1.18,-0.24,1.56,0.32,1.12,-0.23,3.96,0.81,2.86,-0.58
3.58,3.71,6.52,3.75,8.9,2.18,4.71,114,4,1.13,-0.24,1.0,-0.21,1.81,0.38,0.96,-0.2,4.2,0.89,2.53,-0.54
4.06,3.67,6.57,3.43,9.04,2.13,4.23,115,4,0.17,-0.04,0.56,-0.13,2.34,0.55,0.8,-0.19,4.81,1.14,2.1,-0.5
3.67,3.37,6.63,3.15,9.09,2.08,3.8,116,4,0.13,-0.03,0.43,-0.11,2.83,0.75,0.65,-0.17,5.29,1.39,1.72,-0.45
4.02,3.05,6.68,3.53,9.13,2.24,4.29,117,4,0.27,-0.06,1.24,-0.29,2.39,0.56,0.75,-0.18,4.84,1.13,2.05,-0.48
4.2,3.46,6.75,3.03,9.17,2.08,3.64,118,4,0.57,0.16,0.17,-0.05,3.11,0.86,0.6,-0.17,5.53,1.52,1.56,-0.43
3.66,2.98,6.8,3.25,9.21,2.13,3.88,119,4,0.21,-0.06,0.9,-0.23,2.93,0.75,0.63,-0.16,5.34,1.38,1.74,-0.45
4.3,3.14,6.85,3.42,9.25,2.16,4.14,120,4,0.15,0.04,1.01,-0.24,2.71,0.65,0.72,-0.17,5.11,1.23,1.98,-0.48
4.2,3.3,6.78,3.68,8.85,2.24,4.51,121,5,0.31,-0.07,1.21,-0.27,2.27,0.5,0.83,-0.18,4.34,0.96,2.26,-0.5
3.93,3.6,6.83,3.76,8.89,2.07,4.76,122,5,0.83,-0.17,1.16,-0.24,2.07,0.43,1.0,-0.21,4.13,0.87,2.69,-0.56
4.43,3.68,6.88,3.61,8.93,2.08,4.54,123,5,0.11,-0.02,0.86,-0.19,2.34,0.51,0.93,-0.21,4.38,0.96,2.47,-0.54
4.47,3.53,6.93,3.9,8.96,2.27,4.85,124,5,0.37,-0.08,1.31,-0.27,2.09,0.43,0.94,-0.19,4.12,0.85,2.58,-0.53
3.89,3.82,6.98,3.88,9.0,2.2,4.81,125,5,0.91,-0.19,0.99,-0.21,2.18,0.45,0.92,-0.19,4.2,0.87,2.61,-0.54
4.56,3.79,7.03,3.63,9.04,2.12,4.54,126,5,0.02,0.01,0.74,-0.16,2.49,0.55,0.91,-0.2,4.5,0.99,2.42,-0.53
4.44,3.55,7.08,4.01,9.07,2.17,4.99,127,5,0.55,-0.11,1.44,-0.29,2.09,0.42,0.97,-0.2,4.08,0.82,2.82,-0.56
4.17,3.91,7.12,3.9,9.11,2.32,4.77,128,5,0.6,-0.13,0.85,-0.18,2.35,0.49,0.87,-0.18,4.34,0.91,2.45,-0.51
4.52,3.8,7.17,3.97,9.14,2.39,4.84,129,5,0.32,-0.07,1.04,-0.21,2.33,0.48,0.87,-0.18,4.3,0.89,2.45,-0.51
4.72,3.88,7.21,3.58,9.17,2.44,4.23,130,5,0.49,0.12,0.36,-0.08,2.98,0.7,0.65,-0.15,4.94,1.17,1.8,-0.42
4.52,3.5,7.25,3.9,9.21,2.34,4.79,131,5,0.27,-0.06,1.29,-0.27,2.46,0.51,0.89,-0.19,4.42,0.92,2.45,-0.51
4.31,3.8,7.3,3.9,9.24,2.45,4.7,132,5,0.39,-0.08,0.9,-0.19,2.6,0.55,0.8,-0.17,4.54,0.97,2.25,-0.48
4.84,3.79,7.34,4.23,9.27,2.52,5.18,133,5,0.34,-0.06,1.39,-0.27,2.16,0.42,0.94,-0.18,4.09,0.79,2.66,-0.51
4.7,4.1,7.38,4.05,9.3,2.57,4.9,134,5,0.2,-0.04,0.79,-0.16,2.48,0.51,0.85,-0.17,4.4,0.9,2.32,-0.47
4.42,3.94,7.43,3.97,9.41,2.53,4.8,135,5,0.38,-0.08,0.86,-0.18,2.63,0.55,0.83,-0.17,4.62,0.96,2.27,-0.47
4.27,3.87,7.47,3.82,9.44,2.41,4.52,136,5,0.25,-0.06,0.64,-0.14,2.95,0.65,0.7,-0.15,4.92,1.09,2.11,-0.47
4.98,3.72,7.51,3.83,9.47,2.44,4.64,137,5,0.34,0.07,0.92,-0.2,2.87,0.62,0.81,-0.17,4.83,1.04,2.2,-0.47
5.01,3.75,7.55,4.01,9.5,2.64,4.74,138,5,0.28,0.06,0.99,-0.21,2.81,0.59,0.73,-0.15,4.77,1.01,2.1,-0.44
4.35,3.91,7.58,4.2,9.53,2.62,4.95,139,5,0.6,-0.12,1.04,-0.21,2.63,0.53,0.75,-0.15,4.58,0.93,2.33,-0.47
4.57,4.1,7.62,4.17,9.56,2.6,5.04,140,5,0.47,-0.09,0.95,-0.19,2.58,0.51,0.87,-0.17,4.52,0.9,2.44,-0.48
5.11,4.07,7.65,4.2,9.11,2.6,5.08,141,5,0.03,0.01,1.02,-0.2,2.57,0.51,0.88,-0.17,4.02,0.79,2.48,-0.49
4.94,4.1,7.68,4.0,9.13,2.51,4.84,142,5,0.1,0.02,0.74,-0.15,2.84,0.59,0.84,-0.17,4.29,0.89,2.33,-0.48
4.66,3.9,7.72,4.19,9.16,2.55,5.06,143,5,0.41,-0.08,1.16,-0.23,2.65,0.52,0.88,-0.17,4.09,0.81,2.51,-0.5
4.68,4.08,7.75,4.21,9.18,2.49,5.11,144,5,0.43,-0.08,1.03,-0.2,2.64,0.52,0.9,-0.18,4.07,0.8,2.62,-0.51
4.24,4.09,7.78,4.11,9.2,2.59,4.96,145,5,0.72,-0.14,0.87,-0.18,2.82,0.57,0.85,-0.17,4.24,0.86,2.37,-0.48
5.25,4.02,7.81,4.01,9.23,2.67,4.85,146,5,0.39,0.08,0.84,-0.17,2.96,0.61,0.85,-0.17,4.37,0.9,2.19,-0.45
4.51,3.89,7.84,4.0,9.25,2.52,4.92,147,5,0.41,-0.08,1.03,-0.21,2.92,0.59,0.92,-0.19,4.33,0.88,2.4,-0.49
3.85,3.89,7.87,4.46,9.27,2.61,5.45,148,5,1.6,-0.29,1.56,-0.29,2.42,0.44,0.99,-0.18,3.82,0.7,2.84,-0.52
4.8,4.34,7.89,4.21,9.29,2.59,5.07,149,5,0.27,-0.05,0.73,-0.14,2.82,0.56,0.86,-0.17,4.22,0.83,2.49,-0.49
3.69,4.09,7.92,4.43,9.31,2.74,5.27,150,5,1.57,-0.3,1.18,-0.22,2.65,0.5,0.84,-0.16,4.04,0.77,2.53,-0.48
4.84,4.29,7.94,4.46,9.33,2.63,5.47,151,5,0.63,-0.11,1.17,-0.21,2.48,0.45,1.0,-0.18,3.86,0.71,2.83,-0.52
4.33,4.33,8.01,4.86,9.49,2.78,5.94,152,6,1.61,-0.27,1.61,-0.27,2.07,0.35,1.07,-0.18,3.56,0.6,3.16,-0.53
4.69,4.73,8.03,4.5,9.51,2.5,5.5,153,6,0.81,-0.15,0.78,-0.14,2.53,0.46,1.01,-0.18,4.01,0.73,3.0,-0.55
3.94,4.4,8.05,4.55,9.53,2.79,5.36,154,6,1.42,-0.26,0.95,-0.18,2.7,0.5,0.81,-0.15,4.17,0.78,2.57,-0.48
4.91,4.41,8.07,4.22,9.54,2.54,4.99,155,6,0.08,-0.02,0.58,-0.12,3.08,0.62,0.77,-0.16,4.55,0.91,2.45,-0.49
3.89,4.1,8.09,4.24,9.56,2.66,4.98,156,6,1.1,-0.22,0.88,-0.18,3.11,0.62,0.74,-0.15,4.57,0.92,2.33,-0.47
4.44,4.16,8.11,4.56,9.57,2.6,5.4,157,6,0.95,-0.18,1.24,-0.23,2.71,0.5,0.84,-0.16,4.18,0.77,2.79,-0.52
4.86,4.42,8.12,4.43,9.59,2.64,5.22,158,6,0.36,-0.07,0.79,-0.15,2.91,0.56,0.78,-0.15,4.37,0.84,2.58,-0.49
2.06,4.3,8.14,4.44,9.6,2.68,5.23,159,6,3.16,-0.6,0.93,-0.18,2.91,0.56,0.79,-0.15,4.37,0.84,2.54,-0.49
5.04,4.29,8.15,4.66,9.61,2.67,5.53,160,6,0.49,-0.09,1.24,-0.22,2.62,0.47,0.87,-0.16,4.08,0.74,2.86,-0.52
2.94,4.57,8.16,4.58,9.62,2.79,5.44,161,6,2.5,-0.46,0.87,-0.16,2.72,0.5,0.86,-0.16,4.18,0.77,2.65,-0.49
4.85,4.45,8.17,4.65,9.63,2.71,5.54,162,6,0.69,-0.12,1.09,-0.2,2.64,0.48,0.89,-0.16,4.1,0.74,2.83,-0.51
